reviewer_id,blind_id,domain,manual_status,indeterminate_reason,count_bin,evidence_quote,line_number,temporality,negation,subject,uncertainty_note
B,V024,anhedonia_interest,,,,,,,,,
B,V024,appetite_weight,,,,,,,,,
B,V024,concentration_psychomotor,,,,,,,,,
B,V024,depressed_mood,,,,,,,,,
B,V024,functioning_impairment,,,,,,,,,
B,V024,mental_health_history,,,,,,,,,
B,V024,protective_or_absent_symptom,,,,,,,,,
B,V024,self_worth_guilt,,,,,,,,,
B,V024,sleep_fatigue_energy,,,,,,,,,
B,V024,suicide_self_harm,,,,,,,,,
B,V015,anhedonia_interest,,,,,,,,,
B,V015,appetite_weight,,,,,,,,,
B,V015,concentration_psychomotor,,,,,,,,,
B,V015,depressed_mood,,,,,,,,,
B,V015,functioning_impairment,,,,,,,,,
B,V015,mental_health_history,,,,,,,,,
B,V015,protective_or_absent_symptom,,,,,,,,,
B,V015,self_worth_guilt,,,,,,,,,
B,V015,sleep_fatigue_energy,,,,,,,,,
B,V015,suicide_self_harm,,,,,,,,,
B,V043,anhedonia_interest,,,,,,,,,
B,V043,appetite_weight,,,,,,,,,
B,V043,concentration_psychomotor,,,,,,,,,
B,V043,depressed_mood,,,,,,,,,
B,V043,functioning_impairment,,,,,,,,,
B,V043,mental_health_history,,,,,,,,,
B,V043,protective_or_absent_symptom,,,,,,,,,
B,V043,self_worth_guilt,,,,,,,,,
B,V043,sleep_fatigue_energy,,,,,,,,,
B,V043,suicide_self_harm,,,,,,,,,
B,V042,anhedonia_interest,,,,,,,,,
B,V042,appetite_weight,,,,,,,,,
B,V042,concentration_psychomotor,,,,,,,,,
B,V042,depressed_mood,,,,,,,,,
B,V042,functioning_impairment,,,,,,,,,
B,V042,mental_health_history,,,,,,,,,
B,V042,protective_or_absent_symptom,,,,,,,,,
B,V042,self_worth_guilt,,,,,,,,,
B,V042,sleep_fatigue_energy,,,,,,,,,
B,V042,suicide_self_harm,,,,,,,,,
B,V033,anhedonia_interest,,,,,,,,,
B,V033,appetite_weight,,,,,,,,,
B,V033,concentration_psychomotor,,,,,,,,,
B,V033,depressed_mood,,,,,,,,,
B,V033,functioning_impairment,,,,,,,,,
B,V033,mental_health_history,,,,,,,,,
B,V033,protective_or_absent_symptom,,,,,,,,,
B,V033,self_worth_guilt,,,,,,,,,
B,V033,sleep_fatigue_energy,,,,,,,,,
B,V033,suicide_self_harm,,,,,,,,,
B,V021,anhedonia_interest,,,,,,,,,
B,V021,appetite_weight,,,,,,,,,
B,V021,concentration_psychomotor,,,,,,,,,
B,V021,depressed_mood,,,,,,,,,
B,V021,functioning_impairment,,,,,,,,,
B,V021,mental_health_history,,,,,,,,,
B,V021,protective_or_absent_symptom,,,,,,,,,
B,V021,self_worth_guilt,,,,,,,,,
B,V021,sleep_fatigue_energy,,,,,,,,,
B,V021,suicide_self_harm,,,,,,,,,
B,V031,anhedonia_interest,,,,,,,,,
B,V031,appetite_weight,,,,,,,,,
B,V031,concentration_psychomotor,,,,,,,,,
B,V031,depressed_mood,,,,,,,,,
B,V031,functioning_impairment,,,,,,,,,
B,V031,mental_health_history,,,,,,,,,
B,V031,protective_or_absent_symptom,,,,,,,,,
B,V031,self_worth_guilt,,,,,,,,,
B,V031,sleep_fatigue_energy,,,,,,,,,
B,V031,suicide_self_harm,,,,,,,,,
B,V001,anhedonia_interest,,,,,,,,,
B,V001,appetite_weight,,,,,,,,,
B,V001,concentration_psychomotor,,,,,,,,,
B,V001,depressed_mood,,,,,,,,,
B,V001,functioning_impairment,,,,,,,,,
B,V001,mental_health_history,,,,,,,,,
B,V001,protective_or_absent_symptom,,,,,,,,,
B,V001,self_worth_guilt,,,,,,,,,
B,V001,sleep_fatigue_energy,,,,,,,,,
B,V001,suicide_self_harm,,,,,,,,,
B,V027,anhedonia_interest,,,,,,,,,
B,V027,appetite_weight,,,,,,,,,
B,V027,concentration_psychomotor,,,,,,,,,
B,V027,depressed_mood,,,,,,,,,
B,V027,functioning_impairment,,,,,,,,,
B,V027,mental_health_history,,,,,,,,,
B,V027,protective_or_absent_symptom,,,,,,,,,
B,V027,self_worth_guilt,,,,,,,,,
B,V027,sleep_fatigue_energy,,,,,,,,,
B,V027,suicide_self_harm,,,,,,,,,
B,V026,anhedonia_interest,,,,,,,,,
B,V026,appetite_weight,,,,,,,,,
B,V026,concentration_psychomotor,,,,,,,,,
B,V026,depressed_mood,,,,,,,,,
B,V026,functioning_impairment,,,,,,,,,
B,V026,mental_health_history,,,,,,,,,
B,V026,protective_or_absent_symptom,,,,,,,,,
B,V026,self_worth_guilt,,,,,,,,,
B,V026,sleep_fatigue_energy,,,,,,,,,
B,V026,suicide_self_harm,,,,,,,,,
B,V006,anhedonia_interest,,,,,,,,,
B,V006,appetite_weight,,,,,,,,,
B,V006,concentration_psychomotor,,,,,,,,,
B,V006,depressed_mood,,,,,,,,,
B,V006,functioning_impairment,,,,,,,,,
B,V006,mental_health_history,,,,,,,,,
B,V006,protective_or_absent_symptom,,,,,,,,,
B,V006,self_worth_guilt,,,,,,,,,
B,V006,sleep_fatigue_energy,,,,,,,,,
B,V006,suicide_self_harm,,,,,,,,,
B,V041,anhedonia_interest,,,,,,,,,
B,V041,appetite_weight,,,,,,,,,
B,V041,concentration_psychomotor,,,,,,,,,
B,V041,depressed_mood,,,,,,,,,
B,V041,functioning_impairment,,,,,,,,,
B,V041,mental_health_history,,,,,,,,,
B,V041,protective_or_absent_symptom,,,,,,,,,
B,V041,self_worth_guilt,,,,,,,,,
B,V041,sleep_fatigue_energy,,,,,,,,,
B,V041,suicide_self_harm,,,,,,,,,
B,V029,anhedonia_interest,,,,,,,,,
B,V029,appetite_weight,,,,,,,,,
B,V029,concentration_psychomotor,,,,,,,,,
B,V029,depressed_mood,,,,,,,,,
B,V029,functioning_impairment,,,,,,,,,
B,V029,mental_health_history,,,,,,,,,
B,V029,protective_or_absent_symptom,,,,,,,,,
B,V029,self_worth_guilt,,,,,,,,,
B,V029,sleep_fatigue_energy,,,,,,,,,
B,V029,suicide_self_harm,,,,,,,,,
B,V009,anhedonia_interest,,,,,,,,,
B,V009,appetite_weight,,,,,,,,,
B,V009,concentration_psychomotor,,,,,,,,,
B,V009,depressed_mood,,,,,,,,,
B,V009,functioning_impairment,,,,,,,,,
B,V009,mental_health_history,,,,,,,,,
B,V009,protective_or_absent_symptom,,,,,,,,,
B,V009,self_worth_guilt,,,,,,,,,
B,V009,sleep_fatigue_energy,,,,,,,,,
B,V009,suicide_self_harm,,,,,,,,,
B,V020,anhedonia_interest,,,,,,,,,
B,V020,appetite_weight,,,,,,,,,
B,V020,concentration_psychomotor,,,,,,,,,
B,V020,depressed_mood,,,,,,,,,
B,V020,functioning_impairment,,,,,,,,,
B,V020,mental_health_history,,,,,,,,,
B,V020,protective_or_absent_symptom,,,,,,,,,
B,V020,self_worth_guilt,,,,,,,,,
B,V020,sleep_fatigue_energy,,,,,,,,,
B,V020,suicide_self_harm,,,,,,,,,
B,V010,anhedonia_interest,,,,,,,,,
B,V010,appetite_weight,,,,,,,,,
B,V010,concentration_psychomotor,,,,,,,,,
B,V010,depressed_mood,,,,,,,,,
B,V010,functioning_impairment,,,,,,,,,
B,V010,mental_health_history,,,,,,,,,
B,V010,protective_or_absent_symptom,,,,,,,,,
B,V010,self_worth_guilt,,,,,,,,,
B,V010,sleep_fatigue_energy,,,,,,,,,
B,V010,suicide_self_harm,,,,,,,,,
B,V035,anhedonia_interest,,,,,,,,,
B,V035,appetite_weight,,,,,,,,,
B,V035,concentration_psychomotor,,,,,,,,,
B,V035,depressed_mood,,,,,,,,,
B,V035,functioning_impairment,,,,,,,,,
B,V035,mental_health_history,,,,,,,,,
B,V035,protective_or_absent_symptom,,,,,,,,,
B,V035,self_worth_guilt,,,,,,,,,
B,V035,sleep_fatigue_energy,,,,,,,,,
B,V035,suicide_self_harm,,,,,,,,,
B,V004,anhedonia_interest,,,,,,,,,
B,V004,appetite_weight,,,,,,,,,
B,V004,concentration_psychomotor,,,,,,,,,
B,V004,depressed_mood,,,,,,,,,
B,V004,functioning_impairment,,,,,,,,,
B,V004,mental_health_history,,,,,,,,,
B,V004,protective_or_absent_symptom,,,,,,,,,
B,V004,self_worth_guilt,,,,,,,,,
B,V004,sleep_fatigue_energy,,,,,,,,,
B,V004,suicide_self_harm,,,,,,,,,
B,V034,anhedonia_interest,,,,,,,,,
B,V034,appetite_weight,,,,,,,,,
B,V034,concentration_psychomotor,,,,,,,,,
B,V034,depressed_mood,,,,,,,,,
B,V034,functioning_impairment,,,,,,,,,
B,V034,mental_health_history,,,,,,,,,
B,V034,protective_or_absent_symptom,,,,,,,,,
B,V034,self_worth_guilt,,,,,,,,,
B,V034,sleep_fatigue_energy,,,,,,,,,
B,V034,suicide_self_harm,,,,,,,,,
B,V002,anhedonia_interest,,,,,,,,,
B,V002,appetite_weight,,,,,,,,,
B,V002,concentration_psychomotor,,,,,,,,,
B,V002,depressed_mood,,,,,,,,,
B,V002,functioning_impairment,,,,,,,,,
B,V002,mental_health_history,,,,,,,,,
B,V002,protective_or_absent_symptom,,,,,,,,,
B,V002,self_worth_guilt,,,,,,,,,
B,V002,sleep_fatigue_energy,,,,,,,,,
B,V002,suicide_self_harm,,,,,,,,,
B,V013,anhedonia_interest,,,,,,,,,
B,V013,appetite_weight,,,,,,,,,
B,V013,concentration_psychomotor,,,,,,,,,
B,V013,depressed_mood,,,,,,,,,
B,V013,functioning_impairment,,,,,,,,,
B,V013,mental_health_history,,,,,,,,,
B,V013,protective_or_absent_symptom,,,,,,,,,
B,V013,self_worth_guilt,,,,,,,,,
B,V013,sleep_fatigue_energy,,,,,,,,,
B,V013,suicide_self_harm,,,,,,,,,
B,V018,anhedonia_interest,,,,,,,,,
B,V018,appetite_weight,,,,,,,,,
B,V018,concentration_psychomotor,,,,,,,,,
B,V018,depressed_mood,,,,,,,,,
B,V018,functioning_impairment,,,,,,,,,
B,V018,mental_health_history,,,,,,,,,
B,V018,protective_or_absent_symptom,,,,,,,,,
B,V018,self_worth_guilt,,,,,,,,,
B,V018,sleep_fatigue_energy,,,,,,,,,
B,V018,suicide_self_harm,,,,,,,,,
B,V008,anhedonia_interest,,,,,,,,,
B,V008,appetite_weight,,,,,,,,,
B,V008,concentration_psychomotor,,,,,,,,,
B,V008,depressed_mood,,,,,,,,,
B,V008,functioning_impairment,,,,,,,,,
B,V008,mental_health_history,,,,,,,,,
B,V008,protective_or_absent_symptom,,,,,,,,,
B,V008,self_worth_guilt,,,,,,,,,
B,V008,sleep_fatigue_energy,,,,,,,,,
B,V008,suicide_self_harm,,,,,,,,,
B,V017,anhedonia_interest,,,,,,,,,
B,V017,appetite_weight,,,,,,,,,
B,V017,concentration_psychomotor,,,,,,,,,
B,V017,depressed_mood,,,,,,,,,
B,V017,functioning_impairment,,,,,,,,,
B,V017,mental_health_history,,,,,,,,,
B,V017,protective_or_absent_symptom,,,,,,,,,
B,V017,self_worth_guilt,,,,,,,,,
B,V017,sleep_fatigue_energy,,,,,,,,,
B,V017,suicide_self_harm,,,,,,,,,
B,V044,anhedonia_interest,,,,,,,,,
B,V044,appetite_weight,,,,,,,,,
B,V044,concentration_psychomotor,,,,,,,,,
B,V044,depressed_mood,,,,,,,,,
B,V044,functioning_impairment,,,,,,,,,
B,V044,mental_health_history,,,,,,,,,
B,V044,protective_or_absent_symptom,,,,,,,,,
B,V044,self_worth_guilt,,,,,,,,,
B,V044,sleep_fatigue_energy,,,,,,,,,
B,V044,suicide_self_harm,,,,,,,,,
B,V003,anhedonia_interest,,,,,,,,,
B,V003,appetite_weight,,,,,,,,,
B,V003,concentration_psychomotor,,,,,,,,,
B,V003,depressed_mood,,,,,,,,,
B,V003,functioning_impairment,,,,,,,,,
B,V003,mental_health_history,,,,,,,,,
B,V003,protective_or_absent_symptom,,,,,,,,,
B,V003,self_worth_guilt,,,,,,,,,
B,V003,sleep_fatigue_energy,,,,,,,,,
B,V003,suicide_self_harm,,,,,,,,,
B,V014,anhedonia_interest,,,,,,,,,
B,V014,appetite_weight,,,,,,,,,
B,V014,concentration_psychomotor,,,,,,,,,
B,V014,depressed_mood,,,,,,,,,
B,V014,functioning_impairment,,,,,,,,,
B,V014,mental_health_history,,,,,,,,,
B,V014,protective_or_absent_symptom,,,,,,,,,
B,V014,self_worth_guilt,,,,,,,,,
B,V014,sleep_fatigue_energy,,,,,,,,,
B,V014,suicide_self_harm,,,,,,,,,
B,V032,anhedonia_interest,,,,,,,,,
B,V032,appetite_weight,,,,,,,,,
B,V032,concentration_psychomotor,,,,,,,,,
B,V032,depressed_mood,,,,,,,,,
B,V032,functioning_impairment,,,,,,,,,
B,V032,mental_health_history,,,,,,,,,
B,V032,protective_or_absent_symptom,,,,,,,,,
B,V032,self_worth_guilt,,,,,,,,,
B,V032,sleep_fatigue_energy,,,,,,,,,
B,V032,suicide_self_harm,,,,,,,,,
B,V016,anhedonia_interest,,,,,,,,,
B,V016,appetite_weight,,,,,,,,,
B,V016,concentration_psychomotor,,,,,,,,,
B,V016,depressed_mood,,,,,,,,,
B,V016,functioning_impairment,,,,,,,,,
B,V016,mental_health_history,,,,,,,,,
B,V016,protective_or_absent_symptom,,,,,,,,,
B,V016,self_worth_guilt,,,,,,,,,
B,V016,sleep_fatigue_energy,,,,,,,,,
B,V016,suicide_self_harm,,,,,,,,,
B,V012,anhedonia_interest,,,,,,,,,
B,V012,appetite_weight,,,,,,,,,
B,V012,concentration_psychomotor,,,,,,,,,
B,V012,depressed_mood,,,,,,,,,
B,V012,functioning_impairment,,,,,,,,,
