reviewer_id,blind_id,domain,manual_status,indeterminate_reason,count_bin,evidence_quote,line_number,temporality,negation,subject,uncertainty_note
A,T004,anhedonia_interest,,,,,,,,,
A,T004,appetite_weight,,,,,,,,,
A,T004,concentration_psychomotor,,,,,,,,,
A,T004,depressed_mood,,,,,,,,,
A,T004,functioning_impairment,,,,,,,,,
A,T004,mental_health_history,,,,,,,,,
A,T004,protective_or_absent_symptom,,,,,,,,,
A,T004,self_worth_guilt,,,,,,,,,
A,T004,sleep_fatigue_energy,,,,,,,,,
A,T004,suicide_self_harm,,,,,,,,,
A,T002,anhedonia_interest,,,,,,,,,
A,T002,appetite_weight,,,,,,,,,
A,T002,concentration_psychomotor,,,,,,,,,
A,T002,depressed_mood,,,,,,,,,
A,T002,functioning_impairment,,,,,,,,,
A,T002,mental_health_history,,,,,,,,,
A,T002,protective_or_absent_symptom,,,,,,,,,
A,T002,self_worth_guilt,,,,,,,,,
A,T002,sleep_fatigue_energy,,,,,,,,,
A,T002,suicide_self_harm,,,,,,,,,
A,T005,anhedonia_interest,,,,,,,,,
A,T005,appetite_weight,,,,,,,,,
A,T005,concentration_psychomotor,,,,,,,,,
A,T005,depressed_mood,,,,,,,,,
A,T005,functioning_impairment,,,,,,,,,
A,T005,mental_health_history,,,,,,,,,
A,T005,protective_or_absent_symptom,,,,,,,,,
A,T005,self_worth_guilt,,,,,,,,,
A,T005,sleep_fatigue_energy,,,,,,,,,
A,T005,suicide_self_harm,,,,,,,,,
A,T003,anhedonia_interest,,,,,,,,,
A,T003,appetite_weight,,,,,,,,,
A,T003,concentration_psychomotor,,,,,,,,,
A,T003,depressed_mood,,,,,,,,,
A,T003,functioning_impairment,,,,,,,,,
A,T003,mental_health_history,,,,,,,,,
A,T003,protective_or_absent_symptom,,,,,,,,,
A,T003,self_worth_guilt,,,,,,,,,
A,T003,sleep_fatigue_energy,,,,,,,,,
A,T003,suicide_self_harm,,,,,,,,,
A,T001,anhedonia_interest,,,,,,,,,
A,T001,appetite_weight,,,,,,,,,
A,T001,concentration_psychomotor,,,,,,,,,
A,T001,depressed_mood,,,,,,,,,
A,T001,functioning_impairment,,,,,,,,,
A,T001,mental_health_history,,,,,,,,,
A,T001,protective_or_absent_symptom,,,,,,,,,
A,T001,self_worth_guilt,,,,,,,,,
A,T001,sleep_fatigue_energy,,,,,,,,,
A,T001,suicide_self_harm,,,,,,,,,
